"Volume","pH","Actual Volume"
8.28,4.10,0.000
10.25,4.38,1.970
12.03,4.61,3.750
14,4.82,5.720
16,4.99,7.720
18.02,5.15,9.740
20.02,5.34,11.740
22,5.52,13.720
24,5.75,15.720
25.01,5.93,16.730
26,6.15,17.720
26.5,6.31,18.220
27,6.54,18.720
27.3,6.76,19.020
27.5,6.99,19.220
27.7,7.65,19.420
27.8,9.42,19.520
27.85,9.90,19.570
27.91,10.16,19.630
27.97,10.35,19.690
28.13,10.67,19.850
28.4,10.97,20.120
28.75,11.19,20.470
29.25,11.40,20.970
30.4,11.62,22.120
32,11.81,23.720
34.1,11.97,25.820
36,12.07,27.720
39.1,12.19,30.820
42,12.25,33.720
45.7,12.33,37.420
