"Wavelength","Absorbance"
220.0,
221.0,
222.0,
223.0,
224.0,
225.0,
226.0,
227.0,
228.0,
229.0,
230.0,
231.0,
232.0,
233.0,
234.0,
235.0,
236.0,
237.0,
238.0,
239.0,
240.0,
241.0,
242.0,
243.0,
244.0,
245.0,
246.0,
247.0,
248.0,
249.0,
250.0,
251.0,
252.0,
253.0,
254.0,
255.0,
256.0,
257.0,
258.0,
259.0,
260.0,
261.0,
262.0,
263.0,
264.0,
265.0,
266.0,
267.0,
268.0,
269.0,
270.0,
271.0,
272.0,
273.0,
274.0,
275.0,
276.0,
277.0,
278.0,
279.0,
280.0,
281.0,
282.0,
283.0,
284.0,
285.0,
286.0,
287.0,
288.0,
289.0,
290.0,
291.0,
292.0,
293.0,-0.195
294.0,-0.138
295.0,-0.059
296.0,-0.010
297.0,0.025
298.0,0.052
299.0,0.069
300.0,0.078
301.0,0.096
302.0,0.112
303.0,0.124
304.0,0.138
305.0,0.153
306.0,0.166
307.0,0.181
308.0,0.198
309.0,0.211
310.0,0.227
311.0,0.246
312.0,0.272
313.0,0.288
314.0,0.316
315.0,0.343
316.0,0.371
317.0,0.398
318.0,0.437
319.0,0.465
320.0,0.499
321.0,0.535
322.0,0.568
323.0,0.608
324.0,0.645
325.0,0.690
326.0,0.724
327.0,0.765
328.0,0.811
329.0,0.841
330.0,0.873
331.0,0.917
332.0,0.955
333.0,0.984
334.0,1.005
335.0,1.027
336.0,1.074
337.0,1.093
338.0,1.124
339.0,1.132
340.0,1.141
341.0,1.156
342.0,1.166
343.0,1.163
344.0,1.169
345.0,1.157
346.0,1.159
347.0,1.142
348.0,1.139
349.0,1.118
350.0,1.106
351.0,1.085
352.0,1.063
353.0,1.041
354.0,1.013
355.0,0.986
356.0,0.956
357.0,0.925
358.0,0.892
359.0,0.858
360.0,0.819
361.0,0.793
362.0,0.757
363.0,0.719
364.0,0.693
365.0,0.663
366.0,0.626
367.0,0.596
368.0,0.565
369.0,0.534
370.0,0.506
371.0,0.474
372.0,0.450
373.0,0.427
374.0,0.400
375.0,0.378
376.0,0.358
377.0,0.339
378.0,0.319
379.0,0.302
380.0,0.288
381.0,0.270
382.0,0.256
383.0,0.244
384.0,0.234
385.0,0.221
386.0,0.208
387.0,0.203
388.0,0.197
389.0,0.190
390.0,0.181
391.0,0.177
392.0,0.171
393.0,0.166
394.0,0.162
395.0,0.158
396.0,0.155
397.0,0.155
398.0,0.151
399.0,0.151
400.0,0.148
401.0,0.146
402.0,0.145
403.0,0.145
404.0,0.144
405.0,0.145
406.0,0.141
407.0,0.141
408.0,0.139
409.0,0.141
410.0,0.140
411.0,0.139
412.0,0.142
413.0,0.138
414.0,0.139
415.0,0.139
416.0,0.143
417.0,0.139
418.0,0.139
419.0,0.139
420.0,0.137
421.0,0.140
422.0,0.142
423.0,0.138
424.0,0.138
425.0,0.138
426.0,0.136
427.0,0.137
428.0,0.140
429.0,0.139
430.0,0.141
431.0,0.137
432.0,0.138
433.0,0.140
434.0,0.139
435.0,0.142
436.0,0.142
437.0,0.141
438.0,0.144
439.0,0.143
440.0,0.144
441.0,0.143
442.0,0.148
443.0,0.147
444.0,0.150
445.0,0.151
446.0,0.153
447.0,0.153
448.0,0.156
449.0,0.156
450.0,0.160
451.0,0.162
452.0,0.165
453.0,0.167
454.0,0.167
455.0,0.173
456.0,0.177
457.0,0.179
458.0,0.184
459.0,0.186
460.0,0.190
461.0,0.190
462.0,0.195
463.0,0.199
464.0,0.203
465.0,0.212
466.0,0.209
467.0,0.215
468.0,0.217
469.0,0.220
470.0,0.223
471.0,0.226
472.0,0.236
473.0,0.243
474.0,0.248
475.0,0.251
476.0,0.258
477.0,0.265
478.0,0.274
479.0,0.282
480.0,0.289
481.0,0.300
482.0,0.309
483.0,0.319
484.0,0.330
485.0,0.342
486.0,0.347
487.0,0.359
488.0,0.369
489.0,0.379
490.0,0.394
491.0,0.405
492.0,0.412
493.0,0.429
494.0,0.441
495.0,0.456
496.0,0.469
497.0,0.479
498.0,0.492
499.0,0.507
500.0,0.520
501.0,0.535
502.0,0.550
503.0,0.562
504.0,0.575
505.0,0.590
506.0,0.601
507.0,0.617
508.0,0.632
509.0,0.646
510.0,0.659
511.0,0.670
512.0,0.683
513.0,0.700
514.0,0.707
515.0,0.722
516.0,0.733
517.0,0.750
518.0,0.756
519.0,0.767
520.0,0.776
521.0,0.791
522.0,0.802
523.0,0.814
524.0,0.821
525.0,0.828
526.0,0.838
527.0,0.848
528.0,0.859
529.0,0.864
530.0,0.875
531.0,0.878
532.0,0.883
533.0,0.890
534.0,0.898
535.0,0.902
536.0,0.903
537.0,0.908
538.0,0.912
539.0,0.912
540.0,0.915
541.0,0.914
542.0,0.919
543.0,0.922
544.0,0.876
545.0,0.916
546.0,0.916
547.0,0.915
548.0,0.910
549.0,0.907
550.0,0.903
551.0,0.905
552.0,0.897
553.0,0.892
554.0,0.885
555.0,0.883
556.0,0.871
557.0,0.869
558.0,0.858
559.0,0.857
560.0,0.850
561.0,0.843
562.0,0.835
563.0,0.824
564.0,0.814
565.0,0.806
566.0,0.798
567.0,0.793
568.0,0.783
569.0,0.777
570.0,0.771
571.0,0.760
572.0,0.752
573.0,0.743
574.0,0.728
575.0,0.718
576.0,0.708
577.0,0.704
578.0,0.687
579.0,0.677
580.0,0.672
581.0,0.663
582.0,0.648
583.0,0.634
584.0,0.628
585.0,0.615
586.0,0.602
587.0,0.594
588.0,0.581
589.0,0.569
590.0,0.556
591.0,0.548
592.0,0.541
593.0,0.527
594.0,0.517
595.0,0.506
596.0,0.497
597.0,0.487
598.0,0.481
599.0,0.472
600.0,0.458
601.0,0.447
602.0,0.435
603.0,0.429
604.0,0.421
605.0,0.412
606.0,0.401
607.0,0.392
608.0,0.379
609.0,0.373
610.0,0.363
611.0,0.354
612.0,0.348
613.0,0.340
614.0,0.335
615.0,0.323
616.0,0.317
617.0,0.309
618.0,0.299
619.0,0.293
620.0,0.283
621.0,0.280
622.0,0.271
623.0,0.263
624.0,0.257
625.0,0.249
626.0,0.242
627.0,0.235
628.0,0.230
629.0,0.224
630.0,0.216
631.0,0.209
632.0,0.204
633.0,0.197
634.0,0.192
635.0,0.190
636.0,0.186
637.0,0.180
638.0,0.175
639.0,0.170
640.0,0.166
641.0,0.162
642.0,0.159
643.0,0.154
644.0,0.151
645.0,0.147
646.0,0.145
647.0,0.143
648.0,0.142
649.0,0.138
650.0,0.136
651.0,0.134
652.0,0.131
653.0,0.127
654.0,0.129
655.0,0.147
656.0,0.130
657.0,0.124
658.0,0.121
659.0,0.118
660.0,0.116
661.0,0.115
662.0,0.113
663.0,0.113
664.0,0.114
665.0,0.112
666.0,0.112
667.0,0.111
668.0,0.108
669.0,0.109
670.0,0.110
671.0,0.111
672.0,0.111
673.0,0.110
674.0,0.110
675.0,0.110
676.0,0.112
677.0,0.112
678.0,0.113
679.0,0.113
680.0,0.115
681.0,0.115
682.0,0.116
683.0,0.117
684.0,0.120
685.0,0.119
686.0,0.120
687.0,0.121
688.0,0.122
689.0,0.124
690.0,0.126
691.0,0.128
692.0,0.128
693.0,0.129
694.0,0.132
695.0,0.134
696.0,0.137
697.0,0.139
698.0,0.141
699.0,0.140
700.0,0.144
701.0,0.147
702.0,0.150
703.0,0.152
704.0,0.154
705.0,0.155
706.0,0.162
707.0,0.165
708.0,0.167
709.0,0.167
710.0,0.172
711.0,0.176
712.0,0.179
713.0,0.184
714.0,0.188
715.0,0.190
716.0,0.194
717.0,0.199
718.0,0.203
719.0,0.207
720.0,0.211
721.0,0.216
722.0,0.220
723.0,0.224
724.0,0.226
725.0,0.234
726.0,0.239
727.0,0.243
728.0,0.249
729.0,0.252
730.0,0.261
731.0,0.265
732.0,0.269
733.0,0.275
734.0,0.281
735.0,0.289
736.0,0.292
737.0,0.299
738.0,0.305
739.0,0.310
740.0,0.313
741.0,0.322
742.0,0.330
743.0,0.333
744.0,0.340
745.0,0.346
746.0,0.353
747.0,0.357
748.0,0.367
749.0,0.377
750.0,0.382
751.0,0.387
752.0,0.395
753.0,0.400
754.0,0.407
755.0,0.415
756.0,0.425
757.0,0.428
758.0,0.439
759.0,0.442
760.0,0.450
761.0,0.457
762.0,0.462
763.0,0.470
764.0,0.481
765.0,0.485
766.0,0.492
767.0,0.501
768.0,0.511
769.0,0.515
770.0,0.525
771.0,0.535
772.0,0.545
773.0,0.553
774.0,0.562
775.0,0.570
776.0,0.574
777.0,0.583
778.0,0.590
779.0,0.599
780.0,0.605
781.0,0.610
782.0,0.617
783.0,0.616
784.0,0.624
785.0,0.627
786.0,0.632
787.0,0.631
788.0,0.636
789.0,0.636
790.0,0.639
791.0,0.643
792.0,0.647
793.0,0.653
794.0,0.658
795.0,0.656
796.0,0.655
797.0,0.661
798.0,0.666
799.0,0.666
800.0,0.675
801.0,0.669
802.0,0.679
803.0,0.678
804.0,0.689
805.0,0.695
806.0,0.696
807.0,0.704
808.0,0.709
809.0,0.708
810.0,0.715
811.0,0.719
812.0,0.721
813.0,0.726
814.0,0.731
815.0,0.734
816.0,0.745
817.0,0.747
818.0,0.750
819.0,0.753
820.0,0.758
821.0,0.765
822.0,0.765
823.0,0.771
824.0,0.780
825.0,0.780
826.0,0.789
827.0,0.795
828.0,0.796
829.0,0.799
830.0,0.798
831.0,0.808
832.0,0.813
833.0,0.819
834.0,0.821
835.0,0.828
836.0,0.829
837.0,0.833
838.0,0.839
839.0,0.844
840.0,0.850
841.0,0.854
842.0,0.858
843.0,0.868
844.0,0.863
845.0,0.871
846.0,0.885
847.0,0.888
848.0,0.889
849.0,0.889
850.0,0.899
851.0,0.899
852.0,0.899
853.0,0.914
854.0,0.912
855.0,0.916
856.0,0.930
857.0,0.922
858.0,0.925
859.0,0.926
860.0,0.928
